epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,8842.37,0.98152,1.06936,1.17927,0.58504,0.59099,0.60172,0.42836,1.21869,1.50548,1.35303,8.73474e-05,8.73474e-05,8.73474e-05
73,8958.2,0.97021,1.04878,1.17582,0.51318,0.6474,0.60152,0.43207,1.21685,1.46833,1.35375,8.44368e-05,8.44368e-05,8.44368e-05
74,9074.11,0.97591,1.04363,1.17367,0.63048,0.56049,0.60212,0.42616,1.2183,1.46452,1.34972,8.15262e-05,8.15262e-05,8.15262e-05
75,9190.16,0.98131,1.04921,1.17461,0.5305,0.5768,0.5797,0.40645,1.23169,1.50524,1.35117,7.86156e-05,7.86156e-05,7.86156e-05
76,9305.94,0.97851,1.04143,1.17473,0.50935,0.66324,0.5893,0.41931,1.21833,1.49184,1.34899,7.5705e-05,7.5705e-05,7.5705e-05
77,9421.85,0.95444,1.01121,1.16334,0.54529,0.65966,0.60007,0.42394,1.22248,1.45716,1.33979,7.27944e-05,7.27944e-05,7.27944e-05
78,9537.92,0.97735,1.01675,1.16376,0.54118,0.62656,0.59182,0.41945,1.22537,1.4526,1.34629,6.98838e-05,6.98838e-05,6.98838e-05
79,9653.79,0.94591,1.01085,1.16593,0.57402,0.61003,0.6097,0.42883,1.21612,1.47191,1.34595,6.69732e-05,6.69732e-05,6.69732e-05
80,9937.76,0.96134,1.00418,1.16058,0.50843,0.64468,0.57018,0.40264,1.2267,1.51827,1.35302,6.40626e-05,6.40626e-05,6.40626e-05
81,10054.3,0.95453,0.98661,1.16127,0.50958,0.66573,0.6037,0.42616,1.22168,1.49965,1.35367,6.1152e-05,6.1152e-05,6.1152e-05
82,10171,0.9637,0.99607,1.1633,0.53105,0.63149,0.60538,0.42848,1.22443,1.47388,1.34222,5.82414e-05,5.82414e-05,5.82414e-05
83,10287.5,0.94537,0.97546,1.15789,0.51744,0.66471,0.58692,0.41616,1.2183,1.50461,1.35017,5.53308e-05,5.53308e-05,5.53308e-05
84,10404.2,0.95712,0.99708,1.16543,0.65093,0.55062,0.61011,0.43485,1.21049,1.45247,1.34138,5.24202e-05,5.24202e-05,5.24202e-05
85,10520.4,0.94175,0.97611,1.15239,0.57149,0.58558,0.60575,0.43367,1.21344,1.47233,1.33849,4.95096e-05,4.95096e-05,4.95096e-05
86,10636.3,0.94665,0.97519,1.15361,0.5327,0.61717,0.60572,0.43636,1.21601,1.49829,1.35067,4.6599e-05,4.6599e-05,4.6599e-05
87,10752.2,0.94189,0.94599,1.14893,0.57597,0.60483,0.61197,0.4396,1.22213,1.48343,1.35538,4.36884e-05,4.36884e-05,4.36884e-05
88,10868.1,0.93534,0.96837,1.15264,0.48407,0.72202,0.57533,0.40922,1.2269,1.4896,1.35536,4.07778e-05,4.07778e-05,4.07778e-05
89,10984,0.93595,0.96358,1.14623,0.60579,0.59712,0.60981,0.43849,1.21642,1.46758,1.34324,3.78672e-05,3.78672e-05,3.78672e-05
90,11100,0.92393,0.94596,1.14464,0.57319,0.59013,0.5981,0.4229,1.22332,1.49737,1.34854,3.49566e-05,3.49566e-05,3.49566e-05
91,11212.9,0.87837,0.86118,1.11772,0.62338,0.52569,0.59787,0.42789,1.22274,1.51614,1.35193,3.2046e-05,3.2046e-05,3.2046e-05
92,11325.9,0.87876,0.83547,1.11737,0.56163,0.59823,0.60012,0.42622,1.2214,1.50586,1.34722,2.91354e-05,2.91354e-05,2.91354e-05
93,11438.7,0.85832,0.81404,1.10784,0.4938,0.70803,0.59352,0.42231,1.22382,1.52919,1.34608,2.62248e-05,2.62248e-05,2.62248e-05
94,11551.7,0.85285,0.78346,1.09222,0.54391,0.62127,0.58538,0.4166,1.22005,1.53846,1.34398,2.33142e-05,2.33142e-05,2.33142e-05
95,11664.7,0.85868,0.78679,1.10883,0.57243,0.6252,0.61642,0.44431,1.21935,1.53651,1.34381,2.04036e-05,2.04036e-05,2.04036e-05
96,11777.6,0.84834,0.77159,1.09495,0.58897,0.60419,0.61542,0.43995,1.21584,1.50205,1.34485,1.7493e-05,1.7493e-05,1.7493e-05
97,12024.4,0.85602,0.76734,1.10068,0.59744,0.58898,0.61145,0.43609,1.22182,1.51747,1.34793,1.45824e-05,1.45824e-05,1.45824e-05
98,12137.6,0.84422,0.77767,1.09756,0.55992,0.61073,0.60208,0.43003,1.21793,1.5138,1.34813,1.16718e-05,1.16718e-05,1.16718e-05
99,12251,0.84504,0.75687,1.09695,0.61371,0.57189,0.61069,0.43709,1.22199,1.51484,1.35233,8.7612e-06,8.7612e-06,8.7612e-06
100,12364.4,0.84904,0.76329,1.09667,0.60352,0.58535,0.60893,0.4337,1.21942,1.51009,1.35038,5.8506e-06,5.8506e-06,5.8506e-06
