epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2826.53,0.82105,0.66116,1.08379,0.65697,0.57887,0.63875,0.47404,1.22882,1.47141,1.4338,0.000133917,0.000133917,0.000133917
57,2875.32,0.82067,0.66722,1.08889,0.56357,0.68455,0.6627,0.48881,1.24194,1.48785,1.45103,0.000131006,0.000131006,0.000131006
58,2924.56,0.81202,0.64141,1.08284,0.556,0.67918,0.63549,0.46672,1.26965,1.58361,1.48154,0.000128096,0.000128096,0.000128096
59,2973.87,0.80813,0.6383,1.07871,0.60734,0.64719,0.62697,0.46129,1.26158,1.43734,1.45887,0.000125185,0.000125185,0.000125185
60,3022.26,0.78342,0.63306,1.07116,0.63506,0.60003,0.65947,0.49188,1.25463,1.50025,1.46063,0.000122275,0.000122275,0.000122275
61,3070.71,0.78356,0.62761,1.06751,0.64387,0.56299,0.64893,0.47979,1.26555,1.43078,1.47847,0.000119364,0.000119364,0.000119364
62,3119.25,0.78094,0.62224,1.06925,0.63456,0.6617,0.6727,0.50032,1.27103,1.43245,1.49295,0.000116453,0.000116453,0.000116453
63,3174.3,0.78161,0.62594,1.07075,0.55746,0.6617,0.64045,0.48324,1.25632,1.45068,1.468,0.000113543,0.000113543,0.000113543
64,3223.32,0.77149,0.60427,1.05961,0.57109,0.6212,0.62163,0.46639,1.24854,1.44187,1.47222,0.000110632,0.000110632,0.000110632
65,3271.61,0.74655,0.58486,1.05128,0.5814,0.62402,0.63626,0.46741,1.2485,1.43548,1.45996,0.000107722,0.000107722,0.000107722
66,3320.06,0.74965,0.57168,1.04516,0.72277,0.49724,0.63784,0.47009,1.27789,1.46426,1.48535,0.000104811,0.000104811,0.000104811
67,3368.96,0.75458,0.58436,1.05227,0.57003,0.66093,0.66699,0.4963,1.26587,1.42968,1.47495,0.0001019,0.0001019,0.0001019
68,3418.1,0.74176,0.56311,1.04819,0.63784,0.5967,0.62847,0.46744,1.27196,1.5353,1.48731,9.89898e-05,9.89898e-05,9.89898e-05
69,3466.06,0.72759,0.55302,1.03679,0.60095,0.64897,0.65192,0.49202,1.25363,1.52385,1.48748,9.60792e-05,9.60792e-05,9.60792e-05
70,3514.97,0.73483,0.55531,1.03082,0.56127,0.67325,0.65275,0.49215,1.25601,1.51606,1.46805,9.31686e-05,9.31686e-05,9.31686e-05
71,3564.03,0.71108,0.53701,1.03112,0.59837,0.65417,0.64299,0.48508,1.24667,1.46484,1.47771,9.0258e-05,9.0258e-05,9.0258e-05
72,3612.08,0.70738,0.5373,1.03125,0.70825,0.59051,0.6637,0.49386,1.26701,1.45752,1.49886,8.73474e-05,8.73474e-05,8.73474e-05
73,3660.61,0.71436,0.54446,1.03333,0.6149,0.65999,0.65921,0.49188,1.2615,1.43259,1.50592,8.44368e-05,8.44368e-05,8.44368e-05
74,3709.41,0.70225,0.52012,1.0259,0.5625,0.6422,0.64373,0.47807,1.26192,1.4327,1.5049,8.15262e-05,8.15262e-05,8.15262e-05
75,3758.45,0.68525,0.51792,1.01707,0.54184,0.64684,0.64092,0.47323,1.26285,1.4247,1.50753,7.86156e-05,7.86156e-05,7.86156e-05
76,3806.94,0.69498,0.52068,1.02767,0.5813,0.65319,0.64303,0.47445,1.27616,1.46164,1.50347,7.5705e-05,7.5705e-05,7.5705e-05
77,3855.34,0.69827,0.50775,1.01486,0.60009,0.68538,0.65645,0.4846,1.26982,1.48018,1.4943,7.27944e-05,7.27944e-05,7.27944e-05
78,3904.19,0.67164,0.50266,1.01053,0.59366,0.68873,0.65466,0.48975,1.26696,1.44538,1.50186,6.98838e-05,6.98838e-05,6.98838e-05
79,3951.82,0.66589,0.5021,1.00455,0.61831,0.6494,0.6473,0.48093,1.27134,1.42159,1.50488,6.69732e-05,6.69732e-05,6.69732e-05
80,4000.43,0.66551,0.50122,1.00484,0.63973,0.6284,0.6419,0.47878,1.27186,1.50111,1.51511,6.40626e-05,6.40626e-05,6.40626e-05
81,4048.57,0.6663,0.48976,1.0022,0.64318,0.62807,0.64801,0.48867,1.26441,1.49689,1.50549,6.1152e-05,6.1152e-05,6.1152e-05
82,4096.85,0.64977,0.48395,1.00344,0.66564,0.62205,0.66945,0.50138,1.26606,1.48022,1.52257,5.82414e-05,5.82414e-05,5.82414e-05
83,4149.06,0.63918,0.47931,0.99953,0.61563,0.67225,0.66971,0.501,1.26812,1.52633,1.51002,5.53308e-05,5.53308e-05,5.53308e-05
84,4197.36,0.64629,0.4718,0.99551,0.62431,0.5943,0.64252,0.47231,1.29365,1.52346,1.53361,5.24202e-05,5.24202e-05,5.24202e-05
85,4245.76,0.64254,0.47499,1.00563,0.56194,0.66366,0.64676,0.48724,1.27506,1.54748,1.51669,4.95096e-05,4.95096e-05,4.95096e-05
86,4294.23,0.63053,0.4536,0.9977,0.67575,0.56591,0.64611,0.48849,1.27062,1.49044,1.52497,4.6599e-05,4.6599e-05,4.6599e-05
87,4342.16,0.62546,0.45793,0.99196,0.61221,0.61299,0.63695,0.47522,1.2725,1.5303,1.52534,4.36884e-05,4.36884e-05,4.36884e-05
88,4390.51,0.6143,0.45434,0.9903,0.64503,0.55497,0.63128,0.4703,1.27396,1.52494,1.53104,4.07778e-05,4.07778e-05,4.07778e-05
89,4439.32,0.61646,0.44834,0.98523,0.59352,0.61046,0.62909,0.46741,1.26809,1.53998,1.52596,3.78672e-05,3.78672e-05,3.78672e-05
90,4487.14,0.61488,0.44936,0.98246,0.53061,0.6803,0.64595,0.47832,1.26658,1.52818,1.52598,3.49566e-05,3.49566e-05,3.49566e-05
91,4538.61,0.56128,0.34353,0.93243,0.5537,0.67572,0.63902,0.47127,1.27195,1.50974,1.55638,3.2046e-05,3.2046e-05,3.2046e-05
92,4586.39,0.52094,0.31127,0.91451,0.5658,0.65456,0.63463,0.47165,1.26358,1.54753,1.54051,2.91354e-05,2.91354e-05,2.91354e-05
93,4634.78,0.51362,0.30991,0.90902,0.62268,0.59155,0.63431,0.47039,1.26602,1.58282,1.53143,2.62248e-05,2.62248e-05,2.62248e-05
94,4682.57,0.50636,0.30027,0.90712,0.59544,0.62208,0.64743,0.48864,1.2676,1.58248,1.54737,2.33142e-05,2.33142e-05,2.33142e-05
95,4730.72,0.50128,0.29165,0.90546,0.57054,0.6474,0.63815,0.47799,1.26613,1.57859,1.55224,2.04036e-05,2.04036e-05,2.04036e-05
96,4778.52,0.49107,0.28575,0.89905,0.55164,0.64812,0.63952,0.47876,1.2634,1.64335,1.54595,1.7493e-05,1.7493e-05,1.7493e-05
97,4826.58,0.48202,0.29111,0.89934,0.54471,0.67591,0.63002,0.46783,1.25814,1.59316,1.54766,1.45824e-05,1.45824e-05,1.45824e-05
98,4875.3,0.47662,0.28753,0.89252,0.53969,0.68687,0.63169,0.46929,1.26223,1.57083,1.55416,1.16718e-05,1.16718e-05,1.16718e-05
99,4923.08,0.48004,0.2813,0.89316,0.52965,0.66659,0.63321,0.46955,1.26656,1.58096,1.55849,8.7612e-06,8.7612e-06,8.7612e-06
100,4971.24,0.47257,0.27759,0.88979,0.56186,0.64161,0.64951,0.48683,1.26576,1.57444,1.5582,5.8506e-06,5.8506e-06,5.8506e-06
