epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,9630.41,0.586,0.42694,0.92678,0.49937,0.54094,0.49876,0.33759,1.32452,1.99076,1.48098,7.854e-05,7.854e-05,7.854e-05
59,9801.96,0.57862,0.42643,0.92888,0.557,0.49463,0.50712,0.35439,1.32624,2.00829,1.49751,7.476e-05,7.476e-05,7.476e-05
60,9969.35,0.57813,0.42474,0.92395,0.51281,0.51943,0.51202,0.35758,1.33232,2.02911,1.50914,7.098e-05,7.098e-05,7.098e-05
61,10131.6,0.56295,0.41877,0.91834,0.56293,0.47378,0.49771,0.34163,1.32387,1.97573,1.49645,6.72e-05,6.72e-05,6.72e-05
62,10306.3,0.55791,0.40721,0.91562,0.48658,0.55931,0.51557,0.35494,1.32566,1.96512,1.49947,6.342e-05,6.342e-05,6.342e-05
63,10482.1,0.5559,0.40864,0.91272,0.56011,0.49129,0.50379,0.34561,1.32792,2.00046,1.50798,5.964e-05,5.964e-05,5.964e-05
64,10652.6,0.54101,0.39267,0.90556,0.47707,0.54661,0.50334,0.35052,1.3204,1.98607,1.50387,5.586e-05,5.586e-05,5.586e-05
65,10817.3,0.54341,0.38837,0.90638,0.47672,0.56161,0.51182,0.35324,1.32037,2.01244,1.50603,5.208e-05,5.208e-05,5.208e-05
66,10984.5,0.53739,0.38574,0.90415,0.54637,0.49204,0.4951,0.3443,1.32428,2.00816,1.50536,4.83e-05,4.83e-05,4.83e-05
67,11148.6,0.52406,0.37979,0.8995,0.53282,0.52644,0.50704,0.35508,1.31719,2.05207,1.49412,4.452e-05,4.452e-05,4.452e-05
68,11309.4,0.52611,0.37577,0.89851,0.47883,0.59132,0.51173,0.35724,1.31642,2.05138,1.50025,4.074e-05,4.074e-05,4.074e-05
69,11470.4,0.516,0.37199,0.89196,0.48769,0.61574,0.51253,0.35842,1.324,1.98309,1.51097,3.696e-05,3.696e-05,3.696e-05
70,11631,0.50789,0.36917,0.89222,0.45376,0.60386,0.52363,0.36298,1.32182,1.99914,1.51397,3.318e-05,3.318e-05,3.318e-05
